japan stores ready for sql file
Title,Note,URL,Resolved Name,Formatted Address,Latitude,Longitude,Place ID,Photo URL,Photo Attribution,Website,Neighborhood,Instagram,Description
any penny,,https://www.google.com/maps/place/any+penny/data=!4m2!3m1!1s0x6018f4cd09b42713:0xae128250daa26b7a,any penny,"2-chōme-9-3 Takaban, Meguro City, Tokyo 152-0004, Japan",35.6289364,139.688678,ChIJEye0Cc30GGARemui2lCCEq4,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2eIuWaZYU1W1qDWYHI_qI3h3OzAAoFk4KQOX-aDskic9KTwNxYFeIFMqyuVcjx7uStmWKHxboBZwbPXp5rg2rTrdACLUkcaLMU3wap8ms2Jpalxc7U2t0NY8VwmXhjw6a1xyvW3mOzXrkQIH7QAqf59dBwIHv-CKdloTdW75YWE_Qy9t1BLT3QVLfardyK970p86QNc_F3LNJx4nDt74DuoXO5KKrrsccu0wq1U3_pF7WYWbpgueGPFkzgS1zECxOAKpWD-UwZ_LZGgS5jF1IW_3HuwIswkI1rvDbPgLGOP3Hu_HeeZGuLqUJkP3Di-FVSIwtk_OFrRbLX7TVOR2XGR8wCSR6QWfw6Yq_8-CmLEVSZFinr87Lwj1DNVjdU0pTbK8qEHNv78QnTWYuFwQxnuguSI-0g94a7Hpw&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102080348895763698152>M K</a>,https://www.instagram.com/anypenny,Meguro,@anypenny,"any penny — Fashion boutique / clothing store located in Meguro. Info: @anypenny, website."
ANDANTEANDANTE,,https://www.google.com/maps/place/ANDANTEANDANTE/data=!4m2!3m1!1s0x602284b22275fbb9:0xf2e8909d738531b6,ANDANTEANDANTE,"17-4 Shindenchō, Chuo Ward, Chiba, 260-0027, Japan",35.6072929,140.1126135,ChIJuft1IrKEImARtjGFc52Q6PI,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fAvB3QDbShhud1sq77t6DY9tJXjZDrwqQAJRjG_0XqRiGk9BvfaJOuQOqzHEHRIWBYlsIittuSm3X3SX-eVCykteI1rIhQ_AbCq5JctpTbjIkpARW9Bqr7cylE_HSL-p3Rw5mMsQS1P-X9JuYuhnA9JXKP1XBmGRDq1OJFuFvL38mPBrrOSNLKtMFi70MKecQN4YFAvXF7OfFLINSceSIHP2whNs1xZnRWh-UZGDgaeWBX5eNwNiKPgmQaP-W0uDREwVLR69xrtGNC7-pRVK2D_tRoLER1u_eDsb2cIQGCiBfROgHhxYQusRhZBHjwCnDkmZoyTAT5C9TYAJaH5taM_6A0VIazObxC_Onc9iTaqjjqMLEZYQLajwBYGAqUVydI1AWzAqL2dtMOuuDc17P4fD12TpB4wceNHqGuEZ8&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102080348895763698152>M K</a>,https://instagram.com/andanteandante.s?igshid=YmMyMTA2M2Y=,Chiba,@andanteandante.s,"ANDANTEANDANTE — Fashion boutique / clothing store located in Chuo. Info: @andanteandante.s, website."
THE ELEPHANT,,https://www.google.com/maps/place/THE+ELEPHANT/data=!4m2!3m1!1s0x60188d3e5199db31:0x6559da232505a75d,THE ELEPHANT,"Japan, 〒150-0001 Tokyo, Shibuya, Jingūmae, 2-chōme−31−２ factory_01 B1F",35.6734757,139.7092073,ChIJMduZUT6NGGARXacFJSPaWWU,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cigx6JZ7Pi4fIco0xAUXE1c7JgVca_IdPrh3BzFLDDAy8z2b8o4XFPWUJF8jMUKf1YUmNQUeb4u_htONTRXkiGpEKyOh65ALTNcdiV-0hB6Whdj9Lpa62x1AivQ_0RaJNg6Tlz-ueyM1LTMMSCQBtOBdc2CGmozmNGh8s5ZTQmlApA15RMG9qfYTChFUkb7mUK3xgWWn9EVkJUj-xUlunob62ptLVk0MMYBBBTVLN1WfQHZpkmcHGQYXVKQ8RynNNK3SWQCKZU5EcK29vz1XeoSb9EU3oHNfRWcIZ1RUUDMg&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/114313771854062319905>THE ELEPHANT</a>,https://theelephantmarket.com/,Harajuku,,THE ELEPHANT — Fashion boutique / clothing store located in Shibuya.
no shape (神戸古着屋),,https://www.google.com/maps/place/no+shape+(%E7%A5%9E%E6%88%B8%E5%8F%A4%E7%9D%80%E5%B1%8B)/data=!4m2!3m1!1s0x60008f04c0e6513b:0x9a419e6c421ba40b,no shape (神戸古着屋),"Japan, 〒650-0023 Hyogo, Kobe, Chuo Ward, Sakaemachidōri, 3-chōme−2−２ 和栄ビル３号館 1階 奥(105号室",34.686308,135.1859929,ChIJO1HmwASPAGARC6QbQmyeQZo,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fAHWO698pfr9MD8KT4-6YYnZ8o5c-6eS-RZcD31Qr0T5cBZVmwQdBwgziqNoRIITHNTkuF_lZyZbgidxi6-Bogo65BH4lNT4Q8b2-W0hCDOM85urtUGO-lsKoMLSjduGI7pgdvhLPFcKBPplBpcpOxnzjCogwFRefkeGRqQLW5VyttjjkK-e4jsx9uwsD0V4JOeIXBj2nR_fGWXNv2PSkRZHsOhcDnlHjaB668vCDvpSJUlGj-qfOcvLgEM-xVRW39f1-7C5nmHA2tXGjCDIDVXYGJZDZ0TseK8fNJ_qAq1A&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/106326263746072960751>no shape men&#39;s (神戸古着屋)</a>,https://www.instagram.com/no___shape,,@no___shape,"no shape (神戸古着屋) — Vintage and used clothing shop located in Chuo. Info: @no___shape, website."
pp9(ピーピーナイン),,https://www.google.com/maps/place/pp9(%E3%83%94%E3%83%BC%E3%83%94%E3%83%BC%E3%83%8A%E3%82%A4%E3%83%B3)/data=!4m2!3m1!1s0x60188b60464c485d:0xe664d04c99e48051,pp9(ピーピーナイン),"Japan, 〒150-0002 Tokyo, Shibuya, 2-chōme−2−１ 青山グリーンプラザビル 4F",35.6608119,139.7084744,ChIJXUhMRmCLGGARUYDkmUzQZOY,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2fjKN7VTuOPJJxJ4mM6htDVlFkymLpxXXu78DX-sqJfNiQYC1okQsasUd-ML6NU1EeTmHHD9oyuEc-xeARfvqrMpdQX5tIDFCInihCwt9H8YNJtr1UTs1W3RdzYUg0ITwoSz5EvKcjsQdaAVwmqDGR4Dj87ZxFyUcYyLaXzrAbnBkIj00zHDqoFNskcO2kyeZLEiMmVm20Z95O2L1kXDI5tzBsNnJGixnxqXtoad44Zum1KQCwZ_frTRrvabJq9n4fjMtYeT6uFKmDnEwJxZK2JIqoToTaEH3QEqUBCXdagjQ&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/101698987695877011691>pp9(ピーピーナイン)</a>,,Shibuya,,pp9(ピーピーナイン) — Fashion boutique / clothing store located in Shibuya.
ESSENCE store,,https://www.google.com/maps/place/ESSENCE+store/data=!4m2!3m1!1s0x600371380b36f03b:0x1f61f39ab20faa12,ESSENCE store,"Japan, 〒460-0011 Aichi, Nagoya, Naka Ward, Ōsu, 3-chōme−1−３６ 林太陽ビル ７F",35.1615726,136.9035007,ChIJO_A2CzhxA2AREqoPsprzYR8,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2dubdeveBHs5-Aey7QcSrqTwP0KPktjcxibP7QalHUIMK6gFj4f85-eRgVNc_076EoO6Ibi98XY-vFahgx64PhRIaVUyMzyI4ilBfrSRU9ilmdWZSV-KhJWFkddYq_Zr6T2-12LQzvhciogecAtrYyzYDUy4BCkZo1jeEbZqIXaNq26ZX9ypCm1KDZSxFTdHyC7M8-tUfNqyHFNAc5M-YHmx9GiT2RIWYtZVRTBcAjvhJuJL_16gqQFJEbZ8px4djKQipbQyrKUVMSnGCHBFcs8Jdgw_QiONWZAV14U39d3fufPikQcWgBwPqxE0ZVFCNh5bJpeFBRPE-aonMGsMpNWO-4WAHbdumZVVjegmRSKQQO2VcZtGxENnmUUVwdMA64LM4wNaUnvXhBEmfgVF9Ygf3CwNxFsQEZ-pGVaCgP1jw&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102080348895763698152>M K</a>,https://essencestore.official.ec/,Nagoya,,ESSENCE store — Fashion boutique / clothing store located in Nagoya.
sinot.clothing,,https://www.google.com/maps/place/sinot.clothing/data=!4m2!3m1!1s0x6018f3d16565edcd:0x56e55f0fd38e0df5,sinot.clothing,"54-1, ５４ 元代々木町 渋谷区 東京都 151-0062, Japan",35.6731461,139.6874334,ChIJze1lZdHzGGAR9Q2O0w9f5VY,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2cVmoE2jHcAMegXy1eRcY91bumiXsyZ6BV0dt16bGwbKdTTjXhkRjxn-FkXuGrrJAt9lXHZ92DT711xGPREB5wex5ag2qL-VvFTGHafGMCeRVKx-fUgfW3dUkaUBqyq7AaJwwJS72clzut5ytlN7YsVJAsd9UEQLY1sc62VHbjxd5wDQMKlrPm04YzCLr_h_fb9VaVDThGd9ZNNWfeT7aZwLtsjHO4BwIthtclNPeI7gUY4fF7HKg_ann5zdFzskoJxrBRWsPxxkw-WH8OiqgCrVMFmDMRDE63Kpe4iG7gSCAyRnwtv47Qiau0Cy7BJBUAN8PQiTrkNaeuLFZVcF0bPpTxSDpjIkHKV3flRrXL1DwZ0CCdNCM6zQQYYa2eApkEXZ1HychLyfQNf6mVtfEDDPNYiZAJtPP3t0uKJo7j1W0I&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102080348895763698152>M K</a>,https://www.instagram.com/sinot.clothing/,Yoyogi,@sinot.clothing,"sinot.clothing — Fashion boutique / clothing store located in 54-1. Info: @sinot.clothing, website."
Post-Antique,,https://www.google.com/maps/place/Post-Antique%E3%83%9D%E3%82%B9%E3%83%88%E3%82%A2%E3%83%B3%E3%83%86%E3%82%A3%E3%83%BC%E3%82%AF%26kiky%E3%82%AD%E3%82%AD%E3%83%BC+%E3%83%96%E3%83%A9%E3%83%B3%E3%83%89%EF%BC%86%E3%83%B4%E3%82%A3%E3%83%B3%E3%83%86%E3%83%BC%E3%82%B8%E5%8F%A4%E7%9D%80+%2F%E3%82%AA%E3%83%AA%E3%82%B8%E3%83%8A%E3%83%AB%E3%82%AD%E3%83%83%E3%82%BA%E3%82%A6%E3%82%A7%E3%82%A2%E5%AD%90%E4%BE%9B%E6%9C%8D+%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%8B%9B%E6%B1%9F%E5%96%9C%E5%A4%9A%E8%A6%8B%E5%BA%97/data=!4m2!3m1!1s0x60188ca6843b0001:0x89b176599805384b,Post-Antiqueポストアンティーク&kikyキキー ブランド＆ヴィンテージ古着 /オリジナルキッズウェア子供服 東京都狛江喜多見店,"Japan, 〒201-0004 Tokyo, Komae, Iwadokita, 1-chōme−10−６ 甲武ビル B102",35.6373247,139.5803846,ChIJAQA7hKaMGGARSzgFmFl2sYk,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2ftFGJaIyPZn_zeR416Uiuz7ePl-ggEh-DMQSyRTU9j41Hq09jjF6ZOsFcCibXbskh0y2qsdmVGzylK74UxlQLERQ3fvqVUpQE1bkocFS9Z3kcf7G3-8qR_fOhnlQeU8m_bDVgAWTDl25880QWWpK6QK_RQTTY0qaoq7DjRYzWYyu9S90RNnB-Xxhj92748DwlY2TqaLfZffMEuUjFfJ8Dlel4yyVr8QgkHbVfgKJEWqRUG4RzR9n1cFOpG0S0TQPFwGwb9vrbzCyZtz9BuRpKM8Q_XeOKVv0BwLOvuOaET-_RQqlPX0UZlsPfxW_mv3gS8llxZd69UaTmelNTS3JGx0n8RHjVJsoowtO_0GDuHGvFD9-ozd0dpEBCgccaBl6Ee-GXZ6kd10DIC-uiSvGse33pFvmA2x-SFnRKOceTaBA&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/117918957922626886503>Yoichiro Ando</a>,https://postantique.fashionstore.jp/,Komae,,Post-Antiqueポストアンティーク&kikyキキー ブランド＆ヴィンテージ古着 /オリジナルキッズウェア子供服 東京都狛江喜多見店 — Vintage and used clothing shop located in Kita.
古着屋C.O.M.P,,https://www.google.com/maps/place/%E5%8F%A4%E7%9D%80%E5%B1%8BC.O.M.P/data=!4m2!3m1!1s0x6003710066d52f1f:0xa083b36d3068cbea,Comp Used Clothing,"3-chōme-17-1 Wakabayashi, Setagaya City, Tokyo 154-0023, Japan",35.6424103,139.6551476,ChIJLbrBElHzGGARotTQQ83NmKo,,,,Setagaya City,,Comp Used Clothing — Vintage and used clothing shop located in Setagaya.
Blend Market Kyoto,blend market kyoto,https://www.google.com/maps/place/Ky%C5%8Dto+Gion+Post+Office/data=!4m2!3m1!1s0x600108ea82ddb329:0x9d5757615c4d7494,Kyōto Gion Post Office,"153 Tokiwachō, Higashiyama Ward, Kyoto, 605-0079, Japan",35.0045228,135.7728981,ChIJKbPdguoIAWARlHRNXGFXV50,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photoreference=AciIO2e8LUaCXI8MQt359304xO9_qDmgvBo75iADxzgTqGOJT1zD49xEdVcNe8h0-rEZ1VO5sUY6TpyU_CpTu1eq0xMl_0V3xHK8jAUXvQzjI2ybE5Ecq8SsLA7O8vRre67IFf6-Mra5HYIiss4YTOgskOj3mjRgmYWfZQWNDw6dyAbYV_P7ez2jIZmsIDnU54z8opFZyhS17uVMBMw6etFpC0JatFVabDqzeREbpdIOAFrqnwoZHYdQkFm-d9EAcLkANaQNBcpIjCboE-PtRSfjNtchBTeD0iBQnhhlLxQLxRYlsINYuo3pn1Ox7hD8qz9NKTVxC3tUymaRkeZuEMruL53ojMWMtarkdprGhXTma2m_v40FbifKoLH6u47xH-dRupTxHb2jrPA44Q-zpZlcTb7nqb0hK5ij-WpwMCBS1ik_qLGBgM0QPA&key=AIzaSyDbYxOTi_JkL5n_Sw2smuMrstVxX34WU0E,<a href=https://maps.google.com/maps/contrib/102166141186034845233>吳宗勳</a>,https://map.japanpost.jp/p/search/dtl/300144159000/,,,
